species,class
Limnodynastes_salmini,amphibians
Limnodynastes_spenceri,amphibians
Liopholis_inornata,reptiles
Liopholis_kintorei,reptiles
Liopholis_striata,reptiles
Litoria_adelaidensis,amphibians
Litoria_alboguttata,amphibians
Litoria_aurea,amphibians
Litoria_bicolor,amphibians
Litoria_chloris,amphibians
Litoria_citropa,amphibians
Litoria_cultripes,amphibians
Litoria_cyclorhyncha,amphibians
Litoria_dentata,amphibians
Litoria_ewingii,amphibians
Litoria_gilleni,amphibians
Litoria_latopalmata,amphibians
Litoria_lesueuri,amphibians
Litoria_longipes,amphibians
Litoria_moorei,amphibians
Litoria_nigrofrenata,amphibians
Litoria_nyakalensis,amphibians
Litoria_pallida,amphibians
Litoria_peronii,amphibians
Litoria_personata,amphibians
Litoria_rothii,amphibians
Litoria_verreauxii,amphibians
Lophognathus_temporalis,reptiles
Lucasium_byrnei,reptiles
Lucasium_damaeum,reptiles
Lucasium_immaculatum,reptiles
Lucasium_stenodactylum,reptiles
Lygisaurus_foliorum,reptiles
Lygisaurus_macfarlani,reptiles
Lygisaurus_tanneri,reptiles
Macropus_agilis,mammals
Macropus_antilopinus,mammals
Macropus_dorsalis,mammals
Macropus_fuliginosus,mammals
Macropus_rufogriseus,mammals
Macropus_rufus,mammals
Macrotis_lagotis,mammals
Mastacomys_fuscus,mammals
Melomys_burtoni,mammals
Menetia_alanae,reptiles
Menetia_concinna,reptiles
Miniopterus_schreibersii,mammals
Mixophyes_fasciolatus,amphibians
Moloch_horridus,reptiles
Morethia_adelaidensis,reptiles
Morethia_boulengeri,reptiles
Morethia_obscura,reptiles
Nannoscincus_maccoyi,reptiles
Neobatrachus_albipes,amphibians
Neobatrachus_aquilonius,amphibians
Neobatrachus_kunapalari,amphibians
Neobatrachus_pictus,amphibians
Neobatrachus_sudelli,amphibians
Nephrurus_amyae,reptiles
Nephrurus_laevissimus,reptiles
Nephrurus_levis,reptiles
Nephrurus_milii,reptiles
Nephrurus_sheai,reptiles
Ningaui_yvonneae,mammals
Notaden_bennettii,amphibians
Notaden_melanoscaphus,amphibians
Notaden_nichollsi,amphibians
Notechis_ater,reptiles
Notechis_scutatus,reptiles
Notomys_cervinus,mammals
Notomys_fuscus,mammals
Notomys_mitchellii,mammals
Nyctimene_robinsoni,mammals
Nyctophilus_gouldi,mammals
Nyctophilus_walkeri,mammals
Oedura_coggeri,reptiles
Oedura_lesueurii,reptiles
Oedura_marmorata,reptiles
Oedura_rhombifer,reptiles
Oedura_robusta,reptiles
Oedura_tryoni,reptiles
Onychogalea_unguifera,mammals
Parasuta_nigriceps,reptiles
Petauroides_volans,mammals
Petrogale_brachyotis,mammals
Petrogale_godmani,mammals
Petrogale_inornata,mammals
Phascolarctos_cinereus,mammals
Phyllurus_platurus,reptiles
Physignathus_lesueurii,reptiles
Pipistrellus_adamsi,mammals
Planigale_gilesi,mammals
Planigale_maculata,mammals
Planigale_tenuirostris,mammals
Pogona_barbata,reptiles
Pogona_minor,reptiles
Pogona_vitticeps,reptiles
Potorous_longipes,mammals
Pseudantechinus_macdonnellensis,mammals
Pseudechis_porphyriacus,reptiles
Pseudochirops_archeri,mammals
Pseudochirulus_herbertensis,mammals
Pseudomys_australis,mammals
Pseudomys_delicatulus,mammals
Pseudomys_gracilicaudatus,mammals
Pseudomys_nanus,mammals
Pseudomys_shortridgei,mammals
Pseudonaja_nuchalis,reptiles
Pseudophryne_corroboree,amphibians
Pteropus_conspicillatus,mammals
Pteropus_poliocephalus,mammals
Ramphotyphlops_bituberculatus,reptiles
Ramphotyphlops_braminus,reptiles
Ramphotyphlops_centralis,reptiles
Ramphotyphlops_guentheri,reptiles
