LSID	URI	Title	Year	Date Published	Citation	ContainedIn	Edition	ShortTitle	Publisher
urn:lsid:biodiversity.org.au:apni.publication:181421	http://biodiversity.org.au/apni.publication/181421	Mudie, R., The Picture of Australia. Sept. 1829.		Sept. 1829	Mudie, R., The Picture of Australia. Sept. 1829.				
urn:lsid:biodiversity.org.au:apni.publication:181422	http://biodiversity.org.au/apni.publication/181422	Mudie, R., Vegetable Substances. 1829.		1829	Mudie, R., Vegetable Substances. 1829.				
urn:lsid:biodiversity.org.au:apni.publication:181489	http://biodiversity.org.au/apni.publication/181489	Molina, G.I., Saggio sulla storia naturale Del Chili. 1810.		1810	Molina, G.I., Saggio sulla storia naturale Del Chili. 1810.				
urn:lsid:biodiversity.org.au:apni.publication:181497	http://biodiversity.org.au/apni.publication/181497	Jones, D.L., The Orchids of Tasmania. 1999.		1999	Jones, D.L., The Orchids of Tasmania. 1999.				Melbourne University Press
urn:lsid:biodiversity.org.au:apni.publication:181498	http://biodiversity.org.au/apni.publication/181498	Wilcox, D.G. & Morrissey, J.G., Pasture plants of the Western Australian shrublands. 197?.		197?	Wilcox, D.G. & Morrissey, J.G., Pasture plants of the Western Australian shrublands. 197?.				Rangeland Management Branch, Dept. of Agriculture,
urn:lsid:biodiversity.org.au:apni.publication:181501	http://biodiversity.org.au/apni.publication/181501	The Penny Cyclopaedia of the Society for the Diffusion of Useful Knowledge. 1833-1843.		1833-1843	The Penny Cyclopaedia of the Society for the Diffusion of Useful Knowledge. 1833-1843.				
urn:lsid:biodiversity.org.au:apni.publication:181505	http://biodiversity.org.au/apni.publication/181505	Sitgreaves, L., Report of an Expedition down to the Zuni and Colorado Rivers. 1853.		1853	Sitgreaves, L., Report of an Expedition down to the Zuni and Colorado Rivers. 1853.				
urn:lsid:biodiversity.org.au:apni.publication:181552	http://biodiversity.org.au/apni.publication/181552	Transactions of the American Philosophical Society, n. ser.. 1818-.		1818-	Transactions of the American Philosophical Society, n. ser.. 1818-.				
urn:lsid:biodiversity.org.au:apni.publication:181553	http://biodiversity.org.au/apni.publication/181553	Parsons, W.T., Noxious Weeds of Victoria. 1973.		1973	Parsons, W.T., Noxious Weeds of Victoria. 1973.				 Inkata Press
urn:lsid:biodiversity.org.au:apni.publication:181569	http://biodiversity.org.au/apni.publication/181569	Forest Genetics. 1994-.		1994-	Forest Genetics. 1994-.				Arbora
urn:lsid:biodiversity.org.au:apni.publication:181597	http://biodiversity.org.au/apni.publication/181597	Schwacke, C.A.W., Additiones ad Floram Brasilianam. 1886.		1886	Schwacke, C.A.W., Additiones ad Floram Brasilianam. 1886.			Add. Fl. Bras.	
urn:lsid:biodiversity.org.au:apni.publication:181598	http://biodiversity.org.au/apni.publication/181598	Ross, J.H., A Census of the Vascular Plants of Victoria. 1993-1996.		1993-1996	Ross, J.H., A Census of the Vascular Plants of Victoria. 1993-1996.				National Herbarium of Victoria
urn:lsid:biodiversity.org.au:apni.publication:181599	http://biodiversity.org.au/apni.publication/181599	Ross, J.H., A Census of the Vascular Plants of Victoria. 2000.		2000	Ross, J.H., A Census of the Vascular Plants of Victoria. 2000.				National Herbarium of Victoria
urn:lsid:biodiversity.org.au:apni.publication:181627	http://biodiversity.org.au/apni.publication/181627	Jacquin, N.J. von, Observationum Botanicarum. 1764-1771.		1764-1771	Jacquin, N.J. von, Observationum Botanicarum. 1764-1771.			Observ. Bot. (Jacquin)	
urn:lsid:biodiversity.org.au:apni.publication:181628	http://biodiversity.org.au/apni.publication/181628	Godman, F.D. & Slavin, O., Biologia Centrali-Americani, Botany. 1879-1888.		1879-1888	Godman, F.D. & Slavin, O., Biologia Centrali-Americani, Botany. 1879-1888.			Biol. Cent.-Amer., Bot.	
urn:lsid:biodiversity.org.au:apni.publication:181629	http://biodiversity.org.au/apni.publication/181629	Bonplandia (Corrientes). 1960-.		1960-	Bonplandia (Corrientes). 1960-.			Bonplandia (Corrientes)	
urn:lsid:biodiversity.org.au:apni.publication:182221	http://biodiversity.org.au/apni.publication/182221	Lichenes Exsiccati.			Lichenes Exsiccati.				University of Colorado
urn:lsid:biodiversity.org.au:apni.publication:182222	http://biodiversity.org.au/apni.publication/182222	Filson, R.B., Checklist of Australian Lichens. 1983-1986.		1983-1986	Filson, R.B., Checklist of Australian Lichens. 1983-1986.				
urn:lsid:biodiversity.org.au:apni.publication:182226	http://biodiversity.org.au/apni.publication/182226	Meyer, H., Ostafrikanische Gletscherfahrten.... 1890.		1890	Meyer, H., Ostafrikanische Gletscherfahrten.... 1890.			Ostafrikanische Gletscherfahrten	Dunker & Humblot
urn:lsid:biodiversity.org.au:apni.publication:182237	http://biodiversity.org.au/apni.publication/182237	Saccardo, P.A., Miscellanea mycologia Ser. 2. 1885.		1885	Saccardo, P.A., Miscellanea mycologia Ser. 2. 1885.				
urn:lsid:biodiversity.org.au:apni.publication:182238	http://biodiversity.org.au/apni.publication/182238	Bulletin de la Société Mycologique de France. 1885-.		1885-	Bulletin de la Société Mycologique de France. 1885-.				
urn:lsid:biodiversity.org.au:apni.publication:182329	http://biodiversity.org.au/apni.publication/182329	Nylander, W., Sertum Lichenaeae Tropicae. 1891.		1891	Nylander, W., Sertum Lichenaeae Tropicae. 1891.			Sert. lich. trop.	
urn:lsid:biodiversity.org.au:apni.publication:182330	http://biodiversity.org.au/apni.publication/182330	Goteborgs Kungliga Vetenskaps och Vitterhets-Samhallet.			Goteborgs Kungliga Vetenskaps och Vitterhets-Samhallet.			Göteborgs Kungl. Vetensk. Samhälles Handl.	
urn:lsid:biodiversity.org.au:apni.publication:182331	http://biodiversity.org.au/apni.publication/182331	Memoires de l'Institut Scientifique de Madagascar. Serie B. Biologie Vegetale. 1948+.		1948+	Memoires de l'Institut Scientifique de Madagascar. Serie B. Biologie Vegetale. 1948+.			Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.	
urn:lsid:biodiversity.org.au:apni.publication:182343	http://biodiversity.org.au/apni.publication/182343	Takhtajan, A.L., Sistema i Filogeniia Cvetkovykh RasteniA. Jan-Mar 1967 ('1966').		Jan-Mar 1967 ('1966')	Takhtajan, A.L., Sistema i Filogeniia Cvetkovykh RasteniA. Jan-Mar 1967 ('1966').			Sist. Filog. Cvetk. Rast.	Nauka
urn:lsid:biodiversity.org.au:apni.publication:182344	http://biodiversity.org.au/apni.publication/182344	Martius, C.F.P. von, Conspectus Regni Vegetabilis. 1835.		1835	Martius, C.F.P. von, Conspectus Regni Vegetabilis. 1835.			Consp. Regn. Veg.	Jaquet
urn:lsid:biodiversity.org.au:apni.publication:182345	http://biodiversity.org.au/apni.publication/182345	Perleb, K.J., Lehrbuch der Naturgeschichte des Pflanzenreichs. 1826 - 1852.		1826 - 1852	Perleb, K.J., Lehrbuch der Naturgeschichte des Pflanzenreichs. 1826 - 1852.			Lehrb. Naturgesch. Pflanzenr.	Freidrich Wagner
urn:lsid:biodiversity.org.au:apni.publication:182347	http://biodiversity.org.au/apni.publication/182347	Magazine of Natural History, n.s..			Magazine of Natural History, n.s..			Mag. Nat. Hist., n.s.	
urn:lsid:biodiversity.org.au:apni.publication:182353	http://biodiversity.org.au/apni.publication/182353	Hitchcock, A.S., A key to the spring flora of Manhattan. 1894.		1894	Hitchcock, A.S., A key to the spring flora of Manhattan. 1894.				
urn:lsid:biodiversity.org.au:apni.publication:182461	http://biodiversity.org.au/apni.publication/182461	Meeuse, A.D.J., The Euphorbiaceae Auct. Plur. An unnatural taxon.. 1990.		1990	Meeuse, A.D.J., The Euphorbiaceae Auct. Plur. An unnatural taxon.. 1990.				
urn:lsid:biodiversity.org.au:apni.publication:182462	http://biodiversity.org.au/apni.publication/182462	Trautvetter, E.R. von, Estestv. Istor. Gub. Kievsk. Uchebn. Okr. Bot. Sist.. 1853.		1853	Trautvetter, E.R. von, Estestv. Istor. Gub. Kievsk. Uchebn. Okr. Bot. Sist.. 1853.			Estestv. Istor. Gub. Kievsk. Uchebn. Okr. Bot. Sist.	
urn:lsid:biodiversity.org.au:apni.publication:182463	http://biodiversity.org.au/apni.publication/182463	Schnizlein, A. [C.F.H.C.], Analysen zu den Naturlichen Ordnungen der Gewachse. 1856 - 1858.		1856 - 1858	Schnizlein, A. [C.F.H.C.], Analysen zu den Naturlichen Ordnungen der Gewachse. 1856 - 1858.			Anal. Nat. Ordn. Gew.	
urn:lsid:biodiversity.org.au:apni.publication:182464	http://biodiversity.org.au/apni.publication/182464	Nestler, C.G.(C.G.), Monographia de Potentilla. Jun 1816.		Jun 1816	Nestler, C.G.(C.G.), Monographia de Potentilla. Jun 1816.			Monogr. Potentilla [Nestler]	
urn:lsid:biodiversity.org.au:apni.publication:182465	http://biodiversity.org.au/apni.publication/182465	Steele, W.E., A Handbook of Field Botany. 1847 - 1851.		1847 - 1851	Steele, W.E., A Handbook of Field Botany. 1847 - 1851.			Handb. Field Bot.	
urn:lsid:biodiversity.org.au:apni.publication:182466	http://biodiversity.org.au/apni.publication/182466	Hess, J.J., Uebers. Phan. Nat. Pfl.-Fam.. 1832.		1832	Hess, J.J., Uebers. Phan. Nat. Pfl.-Fam.. 1832.			Uebers. Phan. Nat. Pfl.-Fam.	
urn:lsid:biodiversity.org.au:apni.publication:182467	http://biodiversity.org.au/apni.publication/182467	Oken, L., Lehrbuch der Naturgeschichte. 1825 - 1826.		1825 - 1826	Oken, L., Lehrbuch der Naturgeschichte. 1825 - 1826.			Lehrb. Naturgesch.	
urn:lsid:biodiversity.org.au:apni.publication:182468	http://biodiversity.org.au/apni.publication/182468	Croizat, L.C.M., Principia Botanica. 1961.		1961	Croizat, L.C.M., Principia Botanica. 1961.			Principia Bot.	
urn:lsid:biodiversity.org.au:apni.publication:182469	http://biodiversity.org.au/apni.publication/182469	Takhtajan, A.L., Floristic Regions of the World. 27 Apr 1986.		27 Apr 1986	Takhtajan, A.L., Floristic Regions of the World. 27 Apr 1986.			Florist. Reg. World	University of California Press
urn:lsid:biodiversity.org.au:apni.publication:182470	http://biodiversity.org.au/apni.publication/182470	Robin, C.C., Voyages dans l'Interieur de la Louisiane. 1807.		1807	Robin, C.C., Voyages dans l'Interieur de la Louisiane. 1807.			Voy. int. Louisiane	
urn:lsid:biodiversity.org.au:apni.publication:182471	http://biodiversity.org.au/apni.publication/182471	Seyani, J.H. & Chikuni, A.C., Proceedings of the XIII plenary meeting of AETFAT, Zomba, Malawi, 2-11 April 1991. 1994.		1994	Seyani, J.H. & Chikuni, A.C., Proceedings of the XIII plenary meeting of AETFAT, Zomba, Malawi, 2-11 April 1991. 1994.				
urn:lsid:biodiversity.org.au:apni.publication:182472	http://biodiversity.org.au/apni.publication/182472	Drejer, S.T.N., Compendium i den Medicinske Botanik. 1840.		1840	Drejer, S.T.N., Compendium i den Medicinske Botanik. 1840.			Comp. med. Bot.	
urn:lsid:biodiversity.org.au:apni.publication:182473	http://biodiversity.org.au/apni.publication/182473	Add. Fl. Agri Nyss.. 1885.		1885	Add. Fl. Agri Nyss.. 1885.				
urn:lsid:biodiversity.org.au:apni.publication:182474	http://biodiversity.org.au/apni.publication/182474	Wimmer, C.F.H. & Grabowski, H.E., Flora Silesiae. 1827-1829.		1827-1829	Wimmer, C.F.H. & Grabowski, H.E., Flora Silesiae. 1827-1829.				
urn:lsid:biodiversity.org.au:apni.publication:182475	http://biodiversity.org.au/apni.publication/182475	Benson, L., Plant Classification. 1957.		1957	Benson, L., Plant Classification. 1957.			Pl. Classif.	
urn:lsid:biodiversity.org.au:apni.publication:182476	http://biodiversity.org.au/apni.publication/182476	Pflanzenfunde.			Pflanzenfunde.			Pflanzenfunde	
urn:lsid:biodiversity.org.au:apni.publication:182477	http://biodiversity.org.au/apni.publication/182477	Hutchinson, J., Evolution and Phylogeny of Flowering Plants. 1969.		1969	Hutchinson, J., Evolution and Phylogeny of Flowering Plants. 1969.			Evol. Phylog. Fl. Pl.	Academic Press
urn:lsid:biodiversity.org.au:apni.publication:182478	http://biodiversity.org.au/apni.publication/182478	Bertoloni, A., Flora Italica. 1833 - 1854.		1833 - 1854	Bertoloni, A., Flora Italica. 1833 - 1854.			Fl. ital.	
urn:lsid:biodiversity.org.au:apni.publication:182479	http://biodiversity.org.au/apni.publication/182479	Trattinnick, L., Genera Nova Plantarum. 1824 - 1825.		1824 - 1825	Trattinnick, L., Genera Nova Plantarum. 1824 - 1825.			Gen. nov. pl.	
urn:lsid:biodiversity.org.au:apni.publication:182480	http://biodiversity.org.au/apni.publication/182480	Bertoloni, A., Praelectiones Rei Herbariae. 1827.		1827	Bertoloni, A., Praelectiones Rei Herbariae. 1827.			Prael. Rei Herb.	
urn:lsid:biodiversity.org.au:apni.publication:182481	http://biodiversity.org.au/apni.publication/182481	Dyer, R.A., The Genera of Southern African Flowering Plants. 1975, 1976.		1975, 1976	Dyer, R.A., The Genera of Southern African Flowering Plants. 1975, 1976.			Gen. S. Afr. Fl. Pl.	
urn:lsid:biodiversity.org.au:apni.publication:182482	http://biodiversity.org.au/apni.publication/182482	Fenzl, E., Versuch einer Darstellung der Geographischen Verbreitungs- and Vertheilungs-Verhaltnisse der Naturlichen Familie der Alsineen. 1833.		1833	Fenzl, E., Versuch einer Darstellung der Geographischen Verbreitungs- and Vertheilungs-Verhaltnisse der Naturlichen Familie der Alsineen. 1833.				J.B. Wallishauser
urn:lsid:biodiversity.org.au:apni.publication:182483	http://biodiversity.org.au/apni.publication/182483	Kirchner, E.D.M., Schul-Botanik, oder, Kurze Naturgeschichte der Pflanzen überhaupt. 1831.		1831	Kirchner, E.D.M., Schul-Botanik, oder, Kurze Naturgeschichte der Pflanzen überhaupt. 1831.			Schul-Bot.	
urn:lsid:biodiversity.org.au:apni.publication:182484	http://biodiversity.org.au/apni.publication/182484	Horaninow, P.F., Tetractys Naturae. 1843.		1843	Horaninow, P.F., Tetractys Naturae. 1843.			Tetractys	
urn:lsid:biodiversity.org.au:apni.publication:182485	http://biodiversity.org.au/apni.publication/182485	Glasnik Zemaljskog Muzeja u Bosni i Hercegovini. 1889-1937, vols 1-49.		1889-1937, vols 1-49	Glasnik Zemaljskog Muzeja u Bosni i Hercegovini. 1889-1937, vols 1-49.				
urn:lsid:biodiversity.org.au:apni.publication:182486	http://biodiversity.org.au/apni.publication/182486	L'Illustration Horticole. 1854-1896.		1854-1896	L'Illustration Horticole. 1854-1896.			Ill. Hort.	
urn:lsid:biodiversity.org.au:apni.publication:182487	http://biodiversity.org.au/apni.publication/182487	Solereder, H., Systematische Anatomie der Dicotyledonen. Erganzungsband. 1908.		1908	Solereder, H., Systematische Anatomie der Dicotyledonen. Erganzungsband. 1908.			Syst. Anat. Dicot. Erganz.	
urn:lsid:biodiversity.org.au:apni.publication:182488	http://biodiversity.org.au/apni.publication/182488	Hooker, W.J., Flora Scotica. 1821.		1821	Hooker, W.J., Flora Scotica. 1821.			Fl. Scot.	Richard and Arthur Taylor
urn:lsid:biodiversity.org.au:apni.publication:182493	http://biodiversity.org.au/apni.publication/182493	Cincinnati Literary Gazette. Jan. 1, 1824-Oct. 29, 1825.		Jan. 1, 1824-Oct. 29, 1825	Cincinnati Literary Gazette. Jan. 1, 1824-Oct. 29, 1825.			Cincinnati Lit. Gaz.	
urn:lsid:biodiversity.org.au:apni.publication:182494	http://biodiversity.org.au/apni.publication/182494	Schenk, J.A., Handbuch der Botanik. 1879 - 1890.		1879 - 1890	Schenk, J.A., Handbuch der Botanik. 1879 - 1890.			Handb. Bot.	
urn:lsid:biodiversity.org.au:apni.publication:182495	http://biodiversity.org.au/apni.publication/182495	Arquivos do Servico Florestal. 1939+.		1939+	Arquivos do Servico Florestal. 1939+.			Arq. Serv. Florest.	
urn:lsid:biodiversity.org.au:apni.publication:182497	http://biodiversity.org.au/apni.publication/182497	Hasskarl, J.C., Commelinaceae indicae. 1870.		1870	Hasskarl, J.C., Commelinaceae indicae. 1870.				
urn:lsid:biodiversity.org.au:apni.publication:182498	http://biodiversity.org.au/apni.publication/182498	Parlatore, F., Coniferas novas nullas. 1863.		1863	Parlatore, F., Coniferas novas nullas. 1863.				
urn:lsid:biodiversity.org.au:apni.publication:182500	http://biodiversity.org.au/apni.publication/182500	Willkomm, H.M., Supplementum prodromi florae hispanicae. 1893.		1893	Willkomm, H.M., Supplementum prodromi florae hispanicae. 1893.				
urn:lsid:biodiversity.org.au:apni.publication:182501	http://biodiversity.org.au/apni.publication/182501	Memoirs of the Literary and Philosophical Society of Manchester. 1862-1887.		1862-1887	Memoirs of the Literary and Philosophical Society of Manchester. 1862-1887.				
urn:lsid:biodiversity.org.au:apni.publication:182502	http://biodiversity.org.au/apni.publication/182502	Bischoff, G.W.T.G., Lehrbuch der Botanik. 1834 - 1840.		1834 - 1840	Bischoff, G.W.T.G., Lehrbuch der Botanik. 1834 - 1840.			Lehrb. Bot.	
urn:lsid:biodiversity.org.au:apni.publication:182503	http://biodiversity.org.au/apni.publication/182503	Honda, M. & Sakisaka, M., Daikou Nippon Shokubutsu Bunraigaku. 25 Apr 1930.		25 Apr 1930	Honda, M. & Sakisaka, M., Daikou Nippon Shokubutsu Bunraigaku. 25 Apr 1930.				
urn:lsid:biodiversity.org.au:apni.publication:182504	http://biodiversity.org.au/apni.publication/182504	Rafinesque, C.S., Caratteri di alcuni Nuovi Generi e nuove specie di animali e piante della Sicilia. 1810.		1810	Rafinesque, C.S., Caratteri di alcuni Nuovi Generi e nuove specie di animali e piante della Sicilia. 1810.				
urn:lsid:biodiversity.org.au:apni.publication:182505	http://biodiversity.org.au/apni.publication/182505	Gurke, R.L.A.M., Plantae Europeae. 1897-1903.		1897-1903	Gurke, R.L.A.M., Plantae Europeae. 1897-1903.				
urn:lsid:biodiversity.org.au:apni.publication:182791	http://biodiversity.org.au/apni.publication/182791	Laharpe, J.J.C. de, Essai d'une Monographie des Vraies Joncees. 1825.		1825	Laharpe, J.J.C. de, Essai d'une Monographie des Vraies Joncees. 1825.				
urn:lsid:biodiversity.org.au:apni.publication:182792	http://biodiversity.org.au/apni.publication/182792	Drege, J.F., Zwei Planzengeografische Dokumente. 1843-1844.		1843-1844	Drege, J.F., Zwei Planzengeografische Dokumente. 1843-1844.				
urn:lsid:biodiversity.org.au:apni.publication:182794	http://biodiversity.org.au/apni.publication/182794	Petermann, W.L., Das Pflanzenreich. 1838-1845.		1838-1845	Petermann, W.L., Das Pflanzenreich. 1838-1845.			Pflanzenreich	Verlag von Eduard Eisenach
urn:lsid:biodiversity.org.au:apni.publication:182795	http://biodiversity.org.au/apni.publication/182795	Clarke, P.J., Copeland, L.M. & Noble, N.E., The vegetation and plant species of Single National Park. 2000.		2000	Clarke, P.J., Copeland, L.M. & Noble, N.E., The vegetation and plant species of Single National Park. 2000.				
urn:lsid:biodiversity.org.au:apni.publication:182796	http://biodiversity.org.au/apni.publication/182796	Erickson, F.L., Triggerplants. 1958.		1958	Erickson, F.L., Triggerplants. 1958.				
urn:lsid:biodiversity.org.au:apni.publication:182797	http://biodiversity.org.au/apni.publication/182797	Elliott, S., A Sketch of the Botany of South-Carolina and Georgia. 1816-1824.		1816-1824	Elliott, S., A Sketch of the Botany of South-Carolina and Georgia. 1816-1824.				J.R. Schenck
urn:lsid:biodiversity.org.au:apni.publication:182798	http://biodiversity.org.au/apni.publication/182798	Index Seminum horti regii botanici Monspeliensis. 1836, 1838-39, 1843-44, 1847, 1849.		1836, 1838-39, 1843-44, 1847, 1849	Index Seminum horti regii botanici Monspeliensis. 1836, 1838-39, 1843-44, 1847, 1849.				
urn:lsid:biodiversity.org.au:apni.publication:182799	http://biodiversity.org.au/apni.publication/182799	Burman, N.L., Specimen Botanicum de Geraniis. 17 Aug 1759.		17 Aug 1759	Burman, N.L., Specimen Botanicum de Geraniis. 17 Aug 1759.				
urn:lsid:biodiversity.org.au:apni.publication:182800	http://biodiversity.org.au/apni.publication/182800	Hitchcock, M., Correas: Australian Plants for Waterwise Gardens. 2010.		2010	Hitchcock, M., Correas: Australian Plants for Waterwise Gardens. 2010.				Rosenberg Publishing Pty Ltd
urn:lsid:biodiversity.org.au:apni.publication:182801	http://biodiversity.org.au/apni.publication/182801	Thunberg, C.P., Oxalis: quam dissertatione botanica consensu experient. 7 Jul. 1781.		7 Jul. 1781	Thunberg, C.P., Oxalis: quam dissertatione botanica consensu experient. 7 Jul. 1781.			Oxalis	
urn:lsid:biodiversity.org.au:apni.publication:182802	http://biodiversity.org.au/apni.publication/182802	Journal of South African Botany. 1935-.		1935-	Journal of South African Botany. 1935-.				
urn:lsid:biodiversity.org.au:apni.publication:182804	http://biodiversity.org.au/apni.publication/182804	Sociedad Botanica de México. 1944-1954.		1944-1954	Sociedad Botanica de México. 1944-1954.				
urn:lsid:biodiversity.org.au:apni.publication:182805	http://biodiversity.org.au/apni.publication/182805	Meney, K.A. & Pate, J.S., Australian Rushes. 1 Sep. 1999.		1 Sep. 1999	Meney, K.A. & Pate, J.S., Australian Rushes. 1 Sep. 1999.				University of Western Australia Press
urn:lsid:biodiversity.org.au:apni.publication:182806	http://biodiversity.org.au/apni.publication/182806	Index Seminum. Naples. 1825-1866.		1825-1866	Index Seminum. Naples. 1825-1866.				
urn:lsid:biodiversity.org.au:apni.publication:182807	http://biodiversity.org.au/apni.publication/182807	Govaerts, R.H.A., World Checklist of Myrtaceae. 2008.		2008	Govaerts, R.H.A., World Checklist of Myrtaceae. 2008.				
urn:lsid:biodiversity.org.au:apni.publication:182808	http://biodiversity.org.au/apni.publication/182808	Schauer, J.C., Dissertatio phytographica de Regelia, Beaufortia et Calothamno. Jan.-Oct. 1843.		Jan.-Oct. 1843	Schauer, J.C., Dissertatio phytographica de Regelia, Beaufortia et Calothamno. Jan.-Oct. 1843.				
urn:lsid:biodiversity.org.au:apni.publication:182809	http://biodiversity.org.au/apni.publication/182809	Mededeelingen van het Instituut voor Plantenziekten. 1919-1937.		1919-1937	Mededeelingen van het Instituut voor Plantenziekten. 1919-1937.				
urn:lsid:biodiversity.org.au:apni.publication:182810	http://biodiversity.org.au/apni.publication/182810	Australasian Plant Pathology. 1972-.		1972-	Australasian Plant Pathology. 1972-.				
urn:lsid:biodiversity.org.au:apni.publication:182814	http://biodiversity.org.au/apni.publication/182814	Flora Reipublicae Popularis Sinicae. 1959-.		1959-	Flora Reipublicae Popularis Sinicae. 1959-.				
urn:lsid:biodiversity.org.au:apni.publication:182815	http://biodiversity.org.au/apni.publication/182815	Barker, W.R. & Greenslade, P.J.M., Evolution of the flora and fauna of arid Australia. 1982.		1982	Barker, W.R. & Greenslade, P.J.M., Evolution of the flora and fauna of arid Australia. 1982.				
urn:lsid:biodiversity.org.au:apni.publication:182832	http://biodiversity.org.au/apni.publication/182832	Folia Malaysiana. 2000+.		2000+	Folia Malaysiana. 2000+.			Fol. Malaysiana	
urn:lsid:biodiversity.org.au:apni.publication:182819	http://biodiversity.org.au/apni.publication/182819	Williams, J.B. & Harden, G.J., Rainforest Climbing Plants: a field guide to the rainforest climbing plants of New South Wales using vegetative characters.. 1981.		1981	Williams, J.B. & Harden, G.J., Rainforest Climbing Plants: a field guide to the rainforest climbing plants of New South Wales using vegetative characters.. 1981.				Botany Department University of New England
urn:lsid:biodiversity.org.au:apni.publication:182823	http://biodiversity.org.au/apni.publication/182823	Tenore, M., Succinta relazione del viaggio fatto in Abruzzo. 1830.		1830	Tenore, M., Succinta relazione del viaggio fatto in Abruzzo. 1830.				
urn:lsid:biodiversity.org.au:apni.publication:182824	http://biodiversity.org.au/apni.publication/182824	Host, N.T., Flora Austriaca. 1827-1831.		1827-1831	Host, N.T., Flora Austriaca. 1827-1831.				
urn:lsid:biodiversity.org.au:apni.publication:182825	http://biodiversity.org.au/apni.publication/182825	Mittheilungen des Thüringischen Botanischen Vereins. 1891-1944.		1891-1944	Mittheilungen des Thüringischen Botanischen Vereins. 1891-1944.				
urn:lsid:biodiversity.org.au:apni.publication:182826	http://biodiversity.org.au/apni.publication/182826	Dorpater Jahrbücher für Litteratur, Statistik, und Kunst, Besonders, Russlands. 1833-1836.		1833-1836	Dorpater Jahrbücher für Litteratur, Statistik, und Kunst, Besonders, Russlands. 1833-1836.				
urn:lsid:biodiversity.org.au:apni.publication:182828	http://biodiversity.org.au/apni.publication/182828	Vierteljahrsschrift der Naturforschenden Gesellschaft in Zürich. 1929.		1929	Vierteljahrsschrift der Naturforschenden Gesellschaft in Zürich. 1929.				
urn:lsid:biodiversity.org.au:apni.publication:182829	http://biodiversity.org.au/apni.publication/182829	Andrews, F.W., The Flowering Plants of the Sudan. 1956.		1956	Andrews, F.W., The Flowering Plants of the Sudan. 1956.				T. Buncle & Co.
urn:lsid:biodiversity.org.au:apni.publication:182830	http://biodiversity.org.au/apni.publication/182830	Papers and Proceedings of the Royal Society of Van Diemen's Land. 1848/1851-1855/1859.		1848/1851-1855/1859	Papers and Proceedings of the Royal Society of Van Diemen's Land. 1848/1851-1855/1859.				
urn:lsid:biodiversity.org.au:apni.publication:180171	http://biodiversity.org.au/apni.publication/180171	Baker, R.T., The Hardwoods of Australia and their Economics. 1919.		1919	Baker, R.T., The Hardwoods of Australia and their Economics. 1919.				The Government of the State of New South Wales
urn:lsid:biodiversity.org.au:apni.publication:180178	http://biodiversity.org.au/apni.publication/180178	Nuovo Giornale Botanico Italiano Nuovo Serie. 1894-1961.		1894-1961	Nuovo Giornale Botanico Italiano Nuovo Serie. 1894-1961.				Cosieta Botanica Italiana
urn:lsid:biodiversity.org.au:apni.publication:182106	http://biodiversity.org.au/apni.publication/182106	Dozy, F. & Molkenboer, J.H., Muscifrondosi Inediti Archipelagi Indici. 1845-1854.		1845-1854	Dozy, F. & Molkenboer, J.H., Muscifrondosi Inediti Archipelagi Indici. 1845-1854.			Musci. Frond. Ined. Archip. Ind.	
urn:lsid:biodiversity.org.au:apni.publication:182107	http://biodiversity.org.au/apni.publication/182107	Klinggraff, H.E.M. von, Die Hoheren Cryptogamen Preussens. 1858.		1858	Klinggraff, H.E.M. von, Die Hoheren Cryptogamen Preussens. 1858.				
urn:lsid:biodiversity.org.au:apni.publication:182108	http://biodiversity.org.au/apni.publication/182108	Macoun, J. & Kindberg, N.C., Catalogue of Canadian Plants, Part VI, Musci. 1883-1902.		1883-1902	Macoun, J. & Kindberg, N.C., Catalogue of Canadian Plants, Part VI, Musci. 1883-1902.			Cat. Canad. Pl.	William Foster Brown & Co.
urn:lsid:biodiversity.org.au:apni.publication:182110	http://biodiversity.org.au/apni.publication/182110	Atti della Societa Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano. 1896-.		1896-	Atti della Societa Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano. 1896-.				
urn:lsid:biodiversity.org.au:apni.publication:182112	http://biodiversity.org.au/apni.publication/182112	Liddle, D.T., Russell-Smith, J., Brock, J., Leach, G.J. & Connors, G.T., Atlas of the Vascular Rainforest Plants of the Northern Territory. 1994.		1994	Liddle, D.T., Russell-Smith, J., Brock, J., Leach, G.J. & Connors, G.T., Atlas of the Vascular Rainforest Plants of the Northern Territory. 1994.				Australian Biological Resources Study
urn:lsid:biodiversity.org.au:apni.publication:182114	http://biodiversity.org.au/apni.publication/182114	De Notaris, G.(J.), Syllabus Muscorum in Italia. 1838.		1838	De Notaris, G.(J.), Syllabus Muscorum in Italia. 1838.			Syllab. Musc.	
urn:lsid:biodiversity.org.au:apni.publication:182115	http://biodiversity.org.au/apni.publication/182115	Kindberg, N.C., European and North American Bryineae. 1897, 1898.		1897, 1898	Kindberg, N.C., European and North American Bryineae. 1897, 1898.			Eur. N. Amer. Bryin.	
