LSID	URI	Title	Year	Date Published	Citation	ContainedIn	Edition	ShortTitle	Publisher
urn:lsid:biodiversity.org.au:apni.publication:180907	http://biodiversity.org.au/apni.publication/180907	Brooker, M.I.H., Connors, J.R. & Slee, A.V., EUCLID:  Eucalypts of south-eastern Australia. 2000.		2000	Brooker, M.I.H., Connors, J.R. & Slee, A.V., EUCLID:  Eucalypts of south-eastern Australia. 2000.				CPBR-CSIRO
urn:lsid:biodiversity.org.au:apni.publication:181275	http://biodiversity.org.au/apni.publication/181275	Hasskarl, J.C., Plantae Javanicae Rariores. 1848.		1848	Hasskarl, J.C., Plantae Javanicae Rariores. 1848.				
urn:lsid:biodiversity.org.au:apni.publication:181317	http://biodiversity.org.au/apni.publication/181317	Wallroth, C (K). F.W., Beitrage zur Botanik (Wallroth). 1842-1844.		1842-1844	Wallroth, C (K). F.W., Beitrage zur Botanik (Wallroth). 1842-1844.				
urn:lsid:biodiversity.org.au:apni.publication:181318	http://biodiversity.org.au/apni.publication/181318	Annales des Sciences Naturelles; Botanique. Series 11. 1939-.		1939-	Annales des Sciences Naturelles; Botanique. Series 11. 1939-.				
urn:lsid:biodiversity.org.au:apni.publication:181319	http://biodiversity.org.au/apni.publication/181319	Bigelow, J., Florula Bostoniensis. May 1814.		May 1814	Bigelow, J., Florula Bostoniensis. May 1814.				
urn:lsid:biodiversity.org.au:apni.publication:181325	http://biodiversity.org.au/apni.publication/181325	Annales de l'Institut Botanico-Geologique Colonial de Marseille ser. 3. 1913-1922.		1913-1922	Annales de l'Institut Botanico-Geologique Colonial de Marseille ser. 3. 1913-1922.				
urn:lsid:biodiversity.org.au:apni.publication:181326	http://biodiversity.org.au/apni.publication/181326	Viviani, D., Elenchus Plantarum Horti Botanici J. Car. Dinegro Observationibus quod Novas, vel Rariores Species Passim Interjectis. Genuae [Genova]. 2-6 July 1802.		2-6 July 1802	Viviani, D., Elenchus Plantarum Horti Botanici J. Car. Dinegro Observationibus quod Novas, vel Rariores Species Passim Interjectis. Genuae [Genova]. 2-6 July 1802.				
urn:lsid:biodiversity.org.au:apni.publication:181327	http://biodiversity.org.au/apni.publication/181327	Voprosy Farmakognozii. Leningrad [St. Petersburg].			Voprosy Farmakognozii. Leningrad [St. Petersburg].				
urn:lsid:biodiversity.org.au:apni.publication:181460	http://biodiversity.org.au/apni.publication/181460	Cosson, E.S.-C. & Germain de Saint-Pierre, J.N.E., Synopsis Analytique de la Flore des Environs de Paris. 1845-1876.		1845-1876	Cosson, E.S.-C. & Germain de Saint-Pierre, J.N.E., Synopsis Analytique de la Flore des Environs de Paris. 1845-1876.				
urn:lsid:biodiversity.org.au:apni.publication:181613	http://biodiversity.org.au/apni.publication/181613	Novi Commentarii Academiae Scientiarum Imperalis Petropolitanae. 1750-1776.		1750-1776	Novi Commentarii Academiae Scientiarum Imperalis Petropolitanae. 1750-1776.			Novi Comment. Acad. Sci. Imp. Petrop.	
urn:lsid:biodiversity.org.au:apni.publication:181695	http://biodiversity.org.au/apni.publication/181695	Abhandlungen der Schlesischen Gesellschaft fur vaterlandische Cultur. Abtheilung fur Naturwissenschaften und Medicin. 1861-1873.		1861-1873	Abhandlungen der Schlesischen Gesellschaft fur vaterlandische Cultur. Abtheilung fur Naturwissenschaften und Medicin. 1861-1873.				
urn:lsid:biodiversity.org.au:apni.publication:181696	http://biodiversity.org.au/apni.publication/181696	Terracino, A., Primo Contributo ad una Monografia delle Agave. Jul. - Oct. 1885.		Jul. - Oct. 1885	Terracino, A., Primo Contributo ad una Monografia delle Agave. Jul. - Oct. 1885.				
urn:lsid:biodiversity.org.au:apni.publication:182573	http://biodiversity.org.au/apni.publication/182573	Lepschi, B.J., Mallinson, D.J. & Cargill, D.C., Census of the Vascular Plants, Hornworts and Liverworts of the Australian Capital Territory. 2008.		2008	Lepschi, B.J., Mallinson, D.J. & Cargill, D.C., Census of the Vascular Plants, Hornworts and Liverworts of the Australian Capital Territory. 2008.				Centre for Australian National Biodiversity Resear
urn:lsid:biodiversity.org.au:apni.publication:182574	http://biodiversity.org.au/apni.publication/182574	Archives de Biologie Vegetale Pure et Appliquee. 1901.		1901	Archives de Biologie Vegetale Pure et Appliquee. 1901.				
urn:lsid:biodiversity.org.au:apni.publication:182575	http://biodiversity.org.au/apni.publication/182575	Risso, A., Flore de Nice. 1844.		1844	Risso, A., Flore de Nice. 1844.				
urn:lsid:biodiversity.org.au:apni.publication:182576	http://biodiversity.org.au/apni.publication/182576	Aitchison, J.E.T., Catalogue of the Plants of the Punjab and Sindh. 1869.		1869	Aitchison, J.E.T., Catalogue of the Plants of the Punjab and Sindh. 1869.				
urn:lsid:biodiversity.org.au:apni.publication:182577	http://biodiversity.org.au/apni.publication/182577	Presl, C.B., Cyperaceae et Gramineae siculae. 1820.		1820	Presl, C.B., Cyperaceae et Gramineae siculae. 1820.				
urn:lsid:biodiversity.org.au:apni.publication:182578	http://biodiversity.org.au/apni.publication/182578	Meyer, C.A.A. von, Verzeichniss der Pflanzen, welche wahrend der in den jahren 1829 und 1830 Unternommenen reise im Caucasus und in den provinzen am westlichen ufer des Caspischen Meeres. Nov. - Dec. 1831.		Nov. - Dec. 1831	Meyer, C.A.A. von, Verzeichniss der Pflanzen, welche wahrend der in den jahren 1829 und 1830 Unternommenen reise im Caucasus und in den provinzen am westlichen ufer des Caspischen Meeres. Nov. - Dec. 1831.				
